complaint,department
I want to report that The street inside our housing society entrance is completely worn out. Senior citizens cannot walk safely. Looking forward to a speedy resolution.,Roads & Potholes
Our entire locality is suffering. The entire locality is flooded with drainage water after the heavy rains yesterday morning. This needs to be fixed before an accident happens.,Sewage & Drainage
"This is a recurring problem. The road outside the hospital is completely broken, making it extremely dangerous for ambulances. Please update on the status of this complaint.",Roads & Potholes
Unannounced power outage since 10 AM in Sunrise Housing Society. Needs fix near the petrol pump.,Electricity
"Contaminated water coming from municipal lines, smells like sewage. Needs fix in Sunrise Housing Society.",Water Supply
"The local market area lacks proper CCTV surveillance, leading to multiple pickpocketing incidents. Needs fix at the central bus stop.",Other
"No working lights on the national highway stretch, leading to minor accidents during night time. Needs fix in our village square.",Street Lighting
"the bus shelter near the railway station has no roof, commuters have to stand under the heavy rain. this is happening by the sector 4 intersection.",Public Transport
"Water smells heavily of chlorine, it's burning our eyes when we wash our face. It is worse especially at night time.",Water Supply
This is a recurring problem. Frequent load shedding every single day during children's exam preparation time. This is unfair. No one is listening to our requests.,Electricity
We need regular trimming of the large tree branches overhanging the pathway inside the park. This is happening in Sunrise Housing Society.,Parks & Gardens
"The automatic signal system is failing during rush hours, manual intervention is badly needed. This is happening near St. Mary's School.",Traffic Signals
we need regular trimming of the large tree branches overhanging the pathway inside the park. this is happening by the sector 4 intersection.,Parks & Gardens
The main fuse box of our street has caught fire due to overloading during the festival lights decoration. Please take immediate action.,Electricity
