complaint,department,severity
Nobody segregates the waste properly Lakeview Apartments and it is just dumped in one big heap.,Garbage Collection,Medium
There is no bus service at all connecting our village to on Station Road after 7pm.,Public Transport,Medium
"Medical waste from a nearby clinic is being dumped with regular garbage outside the mosque, very unsafe.",Garbage Collection,High
The open gym equipment on the service road is rusted and some machines are completely non-functional.,Parks & Gardens,Low
The playground MG Road has been taken over by unauthorized parking of commercial vehicles.,Other,Medium
Low water pressure near Gandhi Chowk is making it impossible to fill even a bucket. Kindly do the needful at the earliest.,Water Supply,Medium
"The road divider near the panchayat office has been damaged and never fixed, causing wrong-side driving.",Roads & Potholes,Medium
"Power supply Rajpuri village keeps failing during every rainfall, we need underground cabling.",Electricity,Medium
Children playing near the temple are exposed to broken glass and waste scattered on the ground.,Garbage Collection,Medium
"The ticket counter at MG Road station remains closed most mornings, causing long queues.",Public Transport,Medium
During night hours the signal MG Road should blink amber but instead it stays completely off.,Traffic Signals,Medium
"We request urgent repair of the crater-like pothole behind the fish market, an elderly man fell into it yesterday.",Roads & Potholes,High
i think there is some leakage underground in the slum area behind our society bcoz road is always wet even in summer,Water Supply,Medium
"The water tanker did not come to Rajpuri village for several months, and we have run out of drinking water.",Water Supply,Medium
"Medical waste from a nearby clinic is being dumped with regular garbage near the government hospital, very unsafe.",Garbage Collection,High
"Request pest control services MG Road, cockroach and rat infestation has become severe.",Other,Medium
"We have not received power since the cyclone on the service road, please restore the lines urgently.",Electricity,Medium
"Unauthorized hoardings MG Road are blocking the view at a busy junction, causing safety issues.",Other,High
Illegal construction is taking place near the church junction without any approved building permit.,Other,High
Voltage fluctuation near Sunrise Public School burnt out our refrigerator and television last week.,Electricity,High
The community bin Shanti Nagar has been damaged and garbage is spilling onto the footpath.,Garbage Collection,Medium
"The underground drainage pipe near the government hospital has collapsed, creating a huge sinkhole on the road.",Sewage & Drainage,Critical
The dumping ground near near the temple is overflowing and residents are complaining of the stench.,Garbage Collection,High
Senior citizens have no shaded seating area in the park near the government hospital during hot afternoons.,Parks & Gardens,High
"Medical waste from a nearby clinic is being dumped with regular garbage on Station Road, very unsafe.",Garbage Collection,High
"After last night's storm, the traffic light in the industrial area went completely dark and stayed that way.",Traffic Signals,Medium
The overhead tank Lakeview Apartments overflows every night and wastes thousands of litres of water.,Water Supply,Medium
Weekend crowds leave the park near Sunrise Public School full of trash by evening with no cleanup afterward.,Parks & Gardens,High
Drivers routinely jump the red light Shanti Nagar because there is no camera or officer present.,Traffic Signals,Medium
"The garbage collector demands extra money for pickup on Ring Road, otherwise he skips our house.",Garbage Collection,Medium
"An unauthorized religious structure has come up overnight outside the mosque, blocking half the road.",Other,Medium
Please regulate the noise from the DJ played during the wedding function near the government hospital till midnight.,Other,High
"During the festival, extra waste was generated but no additional collection was arranged Rajpuri village.",Garbage Collection,Medium
"This is the third complaint about the same pothole MG Road, still nothing has been done.",Roads & Potholes,Medium
"The bus conductor at the bus stop on Church Street misbehaved with an elderly passenger, this is unacceptable.",Public Transport,Medium
"Sir, our society in the slum area behind our society has not had its garbage picked up for over a week now.",Garbage Collection,Medium
"The traffic signal Rajpuri village has not been working since yesterday, causing massive jams.",Traffic Signals,Medium
